Match_No,Innings,Team,Player_Name,Ball_Count,Position,Short_Description,Pick,Throw,Runs_Saved,Over_Count,Venue,Timestamp
1,1,India,MS Dhoni,4,Mid-wicket,Clean pick up by MS Dhoni at Mid-wicket,clean_pick,none,0,7,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.093703
1,1,India,MS Dhoni,2,Point,Clean pick up by MS Dhoni at Point,clean_pick,none,2,7,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.093876
1,1,India,MS Dhoni,3,Long-on,Clean pick up by MS Dhoni at Long-on,clean_pick,none,1,4,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.094012
1,1,India,MS Dhoni,2,Cover,Clean pick up by MS Dhoni at Cover,clean_pick,none,1,6,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.094141
1,1,India,MS Dhoni,1,Wicket-keeper,Catch taken by MS Dhoni,catch,none,2,12,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.094270
1,1,India,MS Dhoni,6,Long-on,Ball fumbled by MS Dhoni,fumble,none,-3,16,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.094396
1,1,India,MS Dhoni,4,Wicket-keeper,Clean pick up by MS Dhoni at Wicket-keeper,clean_pick,none,2,12,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.094521
1,1,India,MS Dhoni,5,Wicket-keeper,Clean pick up by MS Dhoni at Wicket-keeper,clean_pick,none,0,7,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.094664
1,1,India,MS Dhoni,2,Slip,Good throw from MS Dhoni,good_throw,none,0,14,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.094793
1,1,India,MS Dhoni,4,Cover,Good throw from MS Dhoni,good_throw,none,2,2,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.094915
1,1,India,MS Dhoni,5,Deep square leg,Clean pick up by MS Dhoni at Deep square leg,clean_pick,none,0,12,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.095037
1,1,India,MS Dhoni,2,Cover,Good throw from MS Dhoni,good_throw,none,1,4,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.095162
1,1,India,MS Dhoni,4,Long-on,Clean pick up by MS Dhoni at Long-on,clean_pick,none,1,10,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.095284
1,1,India,MS Dhoni,2,Slip,Bad throw by MS Dhoni,bad_throw,none,-2,12,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.095404
1,1,India,MS Dhoni,6,Deep square leg,Catch taken by MS Dhoni,catch,none,5,16,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.095524
1,1,India,MS Dhoni,5,Slip,Catch dropped by MS Dhoni,dropped_catch,none,-2,16,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.095659
1,1,India,MS Dhoni,1,Mid-wicket,Ball fumbled by MS Dhoni,fumble,none,-1,13,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.095779
1,1,India,MS Dhoni,1,Wicket-keeper,Clean pick up by MS Dhoni at Wicket-keeper,clean_pick,none,2,7,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.095909
1,1,India,MS Dhoni,3,Wicket-keeper,Direct hit by MS Dhoni,direct_hit,none,2,11,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.096028
1,1,India,MS Dhoni,3,Mid-wicket,Bad throw by MS Dhoni,bad_throw,none,-2,1,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.096149
1,1,India,MS Dhoni,4,Deep square leg,Bad throw by MS Dhoni,bad_throw,none,-2,9,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.096268
1,1,India,MS Dhoni,6,Mid-wicket,Direct hit by MS Dhoni,direct_hit,none,1,1,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.096388
1,1,India,MS Dhoni,1,Point,Clean pick up by MS Dhoni at Point,clean_pick,none,1,3,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.096507
1,1,India,MS Dhoni,1,Mid-wicket,Stumping by MS Dhoni,stumping,stumping,3,3,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.096641
1,1,India,MS Dhoni,2,Slip,Good throw from MS Dhoni,good_throw,none,2,9,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.096781
1,1,India,MS Dhoni,1,Cover,Stumping by MS Dhoni,stumping,stumping,4,7,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.096911
1,1,India,MS Dhoni,5,Deep square leg,Ball fumbled by MS Dhoni,fumble,none,-1,5,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.097037
1,1,India,MS Dhoni,3,Point,Clean pick up by MS Dhoni at Point,clean_pick,none,1,7,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.097158
1,1,India,MS Dhoni,5,Long-on,Run out missed by MS Dhoni,missed_run_out,missed_run_out,-2,10,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.097277
1,1,India,MS Dhoni,4,Cover,Bad throw by MS Dhoni,bad_throw,none,-3,12,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.097397
1,1,India,MS Dhoni,6,Wicket-keeper,Good throw from MS Dhoni,good_throw,none,2,7,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.097517
1,1,India,MS Dhoni,5,Wicket-keeper,Good throw from MS Dhoni,good_throw,none,1,20,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.097652
1,1,India,MS Dhoni,3,Wicket-keeper,Catch taken by MS Dhoni,catch,none,1,8,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.097771
1,1,India,MS Dhoni,2,Cover,Clean pick up by MS Dhoni at Cover,clean_pick,none,2,19,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.097899
1,1,India,MS Dhoni,4,Wicket-keeper,Clean pick up by MS Dhoni at Wicket-keeper,clean_pick,none,1,9,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.098018
1,1,India,MS Dhoni,4,Long-on,Run out missed by MS Dhoni,missed_run_out,missed_run_out,-3,20,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.098138
1,1,India,MS Dhoni,5,Wicket-keeper,Stumping missed by MS Dhoni,missed_stumping,missed_stumping,-3,17,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.098257
1,1,India,MS Dhoni,2,Slip,Good throw from MS Dhoni,good_throw,none,2,17,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.098375
1,1,India,MS Dhoni,1,Wicket-keeper,Clean pick up by MS Dhoni at Wicket-keeper,clean_pick,none,1,5,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.098492
1,1,India,MS Dhoni,2,Long-on,Clean pick up by MS Dhoni at Long-on,clean_pick,none,2,12,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.098629
1,1,India,Ravindra Jadeja,4,Slip,Clean pick up by Ravindra Jadeja at Slip,clean_pick,none,0,19,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.103767
1,1,India,Ravindra Jadeja,4,Mid-wicket,Clean pick up by Ravindra Jadeja at Mid-wicket,clean_pick,none,1,9,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.103896
1,1,India,Ravindra Jadeja,2,Long-on,Clean pick up by Ravindra Jadeja at Long-on,clean_pick,none,0,1,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.104016
1,1,India,Ravindra Jadeja,5,Mid-wicket,Run out missed by Ravindra Jadeja,missed_run_out,missed_run_out,-1,8,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.104136
1,1,India,Ravindra Jadeja,5,Long-on,Direct hit by Ravindra Jadeja,direct_hit,none,2,7,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.104256
1,1,India,Ravindra Jadeja,2,Point,Ball fumbled by Ravindra Jadeja,fumble,none,-1,12,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.104376
1,1,India,Ravindra Jadeja,4,Mid-wicket,Clean pick up by Ravindra Jadeja at Mid-wicket,clean_pick,none,1,14,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.104496
1,1,India,Ravindra Jadeja,6,Cover,Clean pick up by Ravindra Jadeja at Cover,clean_pick,none,1,14,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.104656
1,1,India,Ravindra Jadeja,5,Deep square leg,Good throw from Ravindra Jadeja,good_throw,none,1,16,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.104778
1,1,India,Ravindra Jadeja,2,Slip,Bad throw by Ravindra Jadeja,bad_throw,none,-2,5,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.104906
1,1,India,Ravindra Jadeja,2,Slip,Bad throw by Ravindra Jadeja,bad_throw,none,-1,20,"Wankhede Stadium, Mumbai",2025-10-31 08:33:53.105025
